tôi muốn tìm phòng được không?,Hẹn gặp bạn vào lần sau 👋,2019-01-22 16:31:36.875197
ok baby,Xin lỗi 🙇‍♂ Tôi không hiểu ý bạn?,2019-01-22 16:31:48.416977
"đặt xe
","Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:36:44.562622
,"Tôi xin lỗi, tôi không thể giúp bạn được :( Vui lòng cho tôi biết nếu bạn có bất kỳ đề xuất nào về cách tôi có thể cải thiện ạ.",2019-01-22 16:36:49.280831
"đặt xe
","Thanks! Check out our forum, some of the smart people from our community can answer your questions there.",2019-01-22 16:37:31.560685
"{""title"":""xin chào\n""}",Xin chàooo 👋,2019-01-22 16:46:40.686849
"{""title"":""đặt xe\n""}","Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:46:43.400551
Đặt phòng ?,"Tôi không hiểu ý bạn, xin hãy giải thích cho tôi 🤔?",2019-01-22 16:46:46.616598
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:50:13.611713
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:50:29.381547
,"Tôi xin lỗi, tôi không thể giúp bạn được :( Vui lòng cho tôi biết nếu bạn có bất kỳ đề xuất nào về cách tôi có thể cải thiện ạ.",2019-01-22 16:50:38.421983
,Cảm ơn về phản hồi của bạn! Chúng tôi sẽ ghi nhận phản hồi và trả lời bạn sớm nhất ạ!,2019-01-22 16:50:53.670286
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:53:58.041702
,"Tôi xin lỗi, tôi không thể giúp bạn được :( Vui lòng cho tôi biết nếu bạn có bất kỳ đề xuất nào về cách tôi có thể cải thiện ạ.",2019-01-22 16:54:02.690495
,Cảm ơn về phản hồi của bạn! Chúng tôi sẽ ghi nhận phản hồi và trả lời bạn sớm nhất ạ!,2019-01-22 16:54:08.402244
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:57:44.629799
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:58:17.588885
,"Tôi xin lỗi, tôi không thể giúp bạn được :( Vui lòng cho tôi biết nếu bạn có bất kỳ đề xuất nào về cách tôi có thể cải thiện ạ.",2019-01-22 16:58:23.456497
,Cảm ơn về phản hồi của bạn! Chúng tôi sẽ ghi nhận phản hồi và trả lời bạn sớm nhất ạ!,2019-01-22 16:58:37.424148
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 16:58:45.089371
,"Tôi xin lỗi, tôi không thể giúp bạn được :( Vui lòng cho tôi biết nếu bạn có bất kỳ đề xuất nào về cách tôi có thể cải thiện ạ.",2019-01-22 16:59:06.565503
,"Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 17:00:19.066925
"xin chào má
","Xin chào 👋.
Tôi có gì giúp gì cho bạn 🤔?",2019-01-22 17:02:14.802099
"tìm cho cái phòng cho 30 người
","Dạ, hiện tại hệ thống phòng có sức chứa nhiều nhất là 16 người thôi a.
 Vậy nên tôi sẽ lấy phòng lớn nhất cho bạn nhé, bạn có thể lấy thêm ghế nhựa để bổ sung chỗ ngồi ạ! ",2019-01-22 17:02:27.970146
"tìm cho cái phòng cho 30 người
","Dạ, hiện tại hệ thống phòng có sức chứa nhiều nhất là 16 người thôi a.
 Vậy nên tôi sẽ lấy phòng lớn nhất cho bạn nhé, bạn có thể lấy thêm ghế nhựa để bổ sung chỗ ngồi ạ! ",2019-01-22 17:06:13.903624
/action_set_max_quantity,Xin lỗi 🙇‍♂ Tôi không hiểu ý bạn?,2019-01-22 17:06:29.057620
"alo
","Xin lỗi, tôi không chắc mình hiểu đúng ý bạn🤔 Ý bạn là...",2019-01-22 17:06:56.958969
"tìm phòng trống
","Tôi không hiểu ý bạn, xin hãy giải thích cho tôi 🤔?",2019-01-22 17:07:18.115314
"tìm phòng
",Xin lỗi 🙇‍♂ Tôi không hiểu ý bạn?,2019-01-22 17:07:25.280432
"tìm phòng đó
",Xin lỗi 🙇‍♂ Tôi không hiểu ý bạn?,2019-01-22 17:07:32.201401
"tìm phòng ngày mai lúc 9 giờ
","Dạ, trước khi thực hiện, bạn xác nhận các thông tin giúp tôi nhé:
Ngày: 2019-01-23
Thời gian: 9 giờ",2019-01-22 17:08:01.186487
"xin chào
",action : ,2019-01-22 17:09:11.763087
"xin chào
",Hello 👋,2019-01-22 17:09:22.223507
